salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
2788,3885843349,135000.0,,125000.0,YEARLY,USD,BASE_SALARY
2792,3885868290,,85000.0,,YEARLY,USD,BASE_SALARY
2795,3885828024,110000.0,,80000.0,YEARLY,USD,BASE_SALARY
2799,3885828017,130000.0,,90000.0,YEARLY,USD,BASE_SALARY
2801,3885809296,78000.0,,12000.0,YEARLY,USD,BASE_SALARY
2821,3888010306,30.0,,28.0,HOURLY,USD,BASE_SALARY
2826,3888003879,29.0,,26.0,HOURLY,USD,BASE_SALARY
2828,3885828033,120000.0,,90000.0,YEARLY,USD,BASE_SALARY
2829,3885837864,130000.0,,100000.0,YEARLY,USD,BASE_SALARY
2832,3885838575,150000.0,,80000.0,YEARLY,USD,BASE_SALARY
2836,3885827478,130000.0,,90000.0,YEARLY,USD,BASE_SALARY
2844,3885826568,150000.0,,100000.0,YEARLY,USD,BASE_SALARY
2846,3885859471,100000.0,,90000.0,YEARLY,USD,BASE_SALARY
2850,3885837797,110000.0,,90000.0,YEARLY,USD,BASE_SALARY
2854,3885826571,110000.0,,90000.0,YEARLY,USD,BASE_SALARY
2855,3885853759,60000.0,,50000.0,YEARLY,USD,BASE_SALARY
2860,3888008603,30.0,,26.0,HOURLY,USD,BASE_SALARY
2864,3887891737,27.69,,20.0,HOURLY,USD,BASE_SALARY
2869,3885857531,75000.0,,65000.0,YEARLY,USD,BASE_SALARY
2870,3884836574,180000.0,,140000.0,YEARLY,USD,BASE_SALARY
2871,3884859141,160000.0,,130000.0,YEARLY,USD,BASE_SALARY
2872,3884848844,84000.0,,82000.0,YEARLY,USD,BASE_SALARY
2873,3887890785,27.69,,20.0,HOURLY,USD,BASE_SALARY
2882,3887865923,21.0,,16.0,HOURLY,USD,BASE_SALARY
2889,3885859401,110000.0,,105000.0,YEARLY,USD,BASE_SALARY
2890,3887895396,75000.0,,50000.0,YEARLY,USD,BASE_SALARY
